id_studschoolno,subject_code,grade,instructor,semester,schoolyear
2018-0305,RIZAL,93,,First Semester,2020-2021
2018-0305,HIST11,90,,First Semester,2020-2021
2018-0305,ITPROFEL1,90,,First Semester,2020-2021
2018-0305,SP101,96,,First Semester,2020-2021
2018-0305,CC112,93,,Second Semester,2020-2021
2018-0305,CC113,98,,Second Semester,2020-2021
2018-0305,ITELEC2,95,,Second Semester,2020-2021
2018-0305,SIA1,94,,Second Semester,2020-2021
2018-0305,ENTREP11,98,,Second Semester,2020-2021
2018-0305,CC114,97,,Second Semester,2020-2021
2018-0305,IPT1,96,,Second Semester,2020-2021
2018-0305,ITELEC3,96,,Summer,2020-2021
2018-0305,CAP101,100,,Summer,2020-2021
2018-0305,CC115,98,,First Semester,2021-2022
2018-0305,ITPROFEL2,99,,First Semester,2021-2022
2018-0305,ITPROFEL3,97,,First Semester,2021-2022
2018-0305,HCI11,90,,First Semester,2021-2022
2018-0305,CAP102,100,,First Semester,2021-2022
2018-0305,SEMTOUR,100,,Second Semester,2021-2022
2018-0305,PRAC101,100,,Second Semester,2021-2022
2018-0599,CC101,90,,First Semester,2018-2019
2018-0599,MMW,92,,First Semester,2018-2019
2018-0599,ENVISCI,92,,First Semester,2018-2019
2018-0599,P.E.1,98,,First Semester,2018-2019
2018-0599,JEEP1,99,,First Semester,2018-2019
2018-0599,SOCSCI 11,91,,First Semester,2018-2019
2018-0599,NSTP1,98,,First Semester,2018-2019
2018-0599,ITF1,95,,Second Semester,2018-2019
2018-0599,CC103,90,,Second Semester,2018-2019
2018-0599,STS,96,,Second Semester,2018-2019
2018-0599,PURCOMM,98,,Second Semester,2018-2019
2018-0599,JEEP2,94,,Second Semester,2018-2019
2018-0599,CC104,92,,Second Semester,2018-2019
2018-0599,P.E.2,95,,Second Semester,2018-2019
2018-0599,NSTP2,95,,Second Semester,2018-2019
2018-0599,CC105,96,,First Semester,2019-2020
2018-0599,PT101,90,,First Semester,2019-2020
2018-0599,CONWORLD,98,,First Semester,2019-2020
2018-0599,WEB,95,,First Semester,2019-2020
2018-0599,P.E.3,90,,First Semester,2019-2020
2018-0599,CC106,93,,First Semester,2019-2020
2018-0599,CC107,92,,Second Semester,2019-2020
2018-0599,CC108,91,,Second Semester,2019-2020
2018-0599,CC109,98,,Second Semester,2019-2020
2018-0599,HUM11,97,,Second Semester,2019-2020
2018-0599,ETHICS,95,,Second Semester,2019-2020
2018-0599,RVA,94,,Second Semester,2019-2020
2018-0599,P.E.4,90,,Second Semester,2019-2020
2018-0599,CC110,90,,First Semester,2020-2021
2018-0599,ITELEC1,98,,First Semester,2020-2021
2018-0599,CC111,96,,First Semester,2020-2021
2018-0599,RIZAL,93,,First Semester,2020-2021
2018-0599,HIST11,90,,First Semester,2020-2021
2018-0599,ITPROFEL1,90,,First Semester,2020-2021
2018-0599,SP101,96,,First Semester,2020-2021
2018-0599,CC112,93,,Second Semester,2020-2021
2018-0599,CC113,98,,Second Semester,2020-2021
2018-0599,ITELEC2,95,,Second Semester,2020-2021
2018-0599,SIA1,94,,Second Semester,2020-2021
2018-0599,ENTREP11,98,,Second Semester,2020-2021
2018-0599,CC114,97,,Second Semester,2020-2021
2018-0599,IPT1,96,,Second Semester,2020-2021
2018-0599,ITELEC3,96,,Summer,2020-2021
2018-0599,CAP101,100,,Summer,2020-2021
2018-0599,CC115,98,,First Semester,2021-2022
2018-0599,ITPROFEL2,99,,First Semester,2021-2022
2018-0599,ITPROFEL3,97,,First Semester,2021-2022
2018-0599,HCI11,90,,First Semester,2021-2022
2018-0599,CAP102,100,,First Semester,2021-2022
2018-0599,SEMTOUR,100,,Second Semester,2021-2022
2018-0599,PRAC101,100,,Second Semester,2021-2022
2018-0234,CC101,90,,First Semester,2018-2019
2018-0234,MMW,92,,First Semester,2018-2019
2018-0234,ENVISCI,92,,First Semester,2018-2019
2018-0234,P.E.1,98,,First Semester,2018-2019
2018-0234,JEEP1,99,,First Semester,2018-2019
2018-0234,SOCSCI 11,91,,First Semester,2018-2019
2018-0234,NSTP1,98,,First Semester,2018-2019
2018-0234,ITF1,95,,Second Semester,2018-2019
2018-0234,CC103,90,,Second Semester,2018-2019
2018-0234,STS,96,,Second Semester,2018-2019
2018-0234,PURCOMM,98,,Second Semester,2018-2019
2018-0234,JEEP2,94,,Second Semester,2018-2019
2018-0234,CC104,92,,Second Semester,2018-2019
2018-0234,P.E.2,95,,Second Semester,2018-2019
2018-0234,NSTP2,95,,Second Semester,2018-2019
2018-0234,CC105,96,,First Semester,2019-2020
2018-0234,PT101,90,,First Semester,2019-2020
2018-0234,CONWORLD,98,,First Semester,2019-2020
2018-0234,WEB,95,,First Semester,2019-2020
2018-0234,P.E.3,90,,First Semester,2019-2020
2018-0234,CC106,93,,First Semester,2019-2020
2018-0234,CC107,92,,Second Semester,2019-2020
2018-0234,CC108,91,,Second Semester,2019-2020
2018-0234,CC109,98,,Second Semester,2019-2020
2018-0234,HUM11,97,,Second Semester,2019-2020
2018-0234,ETHICS,95,,Second Semester,2019-2020
2018-0234,RVA,94,,Second Semester,2019-2020
2018-0234,P.E.4,90,,Second Semester,2019-2020
2018-0234,CC110,90,,First Semester,2020-2021
2018-0234,ITELEC1,98,,First Semester,2020-2021
2018-0234,CC111,96,,First Semester,2020-2021
2018-0234,RIZAL,93,,First Semester,2020-2021
2018-0234,HIST11,90,,First Semester,2020-2021
2018-0234,ITPROFEL1,90,,First Semester,2020-2021
2018-0234,SP101,96,,First Semester,2020-2021
2018-0234,CC112,93,,Second Semester,2020-2021
2018-0234,CC113,98,,Second Semester,2020-2021
2018-0234,ITELEC2,95,,Second Semester,2020-2021
2018-0234,SIA1,94,,Second Semester,2020-2021
2018-0234,ENTREP11,98,,Second Semester,2020-2021
2018-0234,CC114,97,,Second Semester,2020-2021
2018-0234,IPT1,96,,Second Semester,2020-2021
2018-0234,ITELEC3,96,,Summer,2020-2021
2018-0234,CAP101,100,,Summer,2020-2021
2018-0234,CC115,98,,First Semester,2021-2022
2018-0234,ITPROFEL2,99,,First Semester,2021-2022
2018-0234,ITPROFEL3,97,,First Semester,2021-2022
2018-0234,HCI11,90,,First Semester,2021-2022
2018-0234,CAP102,100,,First Semester,2021-2022
2018-0234,SEMTOUR,100,,Second Semester,2021-2022
2018-0234,PRAC101,100,,Second Semester,2021-2022
2018-0303,CC101,90,,First Semester,2018-2019
2018-0303,MMW,92,,First Semester,2018-2019
2018-0303,ENVISCI,92,,First Semester,2018-2019
2018-0303,P.E.1,98,,First Semester,2018-2019
2018-0303,JEEP1,99,,First Semester,2018-2019
2018-0303,SOCSCI 11,91,,First Semester,2018-2019
2018-0303,NSTP1,98,,First Semester,2018-2019
2018-0303,ITF1,95,,Second Semester,2018-2019
2018-0303,CC103,90,,Second Semester,2018-2019
2018-0303,STS,96,,Second Semester,2018-2019
2018-0303,PURCOMM,98,,Second Semester,2018-2019
2018-0303,JEEP2,94,,Second Semester,2018-2019
2018-0303,CC104,92,,Second Semester,2018-2019
2018-0303,P.E.2,95,,Second Semester,2018-2019
2018-0303,NSTP2,95,,Second Semester,2018-2019
2018-0303,CC105,96,,First Semester,2019-2020
2018-0303,PT101,90,,First Semester,2019-2020
2018-0303,CONWORLD,98,,First Semester,2019-2020
2018-0303,WEB,95,,First Semester,2019-2020
2018-0303,P.E.3,90,,First Semester,2019-2020
2018-0303,CC106,93,,First Semester,2019-2020
2018-0303,CC107,92,,Second Semester,2019-2020
2018-0303,CC108,91,,Second Semester,2019-2020
2018-0303,CC109,98,,Second Semester,2019-2020
2018-0303,HUM11,97,,Second Semester,2019-2020
2018-0303,ETHICS,95,,Second Semester,2019-2020
2018-0303,RVA,94,,Second Semester,2019-2020
2018-0303,P.E.4,90,,Second Semester,2019-2020
2018-0303,CC110,90,,First Semester,2020-2021
2018-0303,ITELEC1,98,,First Semester,2020-2021
2018-0303,CC111,96,,First Semester,2020-2021
2018-0303,RIZAL,93,,First Semester,2020-2021
2018-0303,HIST11,90,,First Semester,2020-2021
2018-0303,ITPROFEL1,90,,First Semester,2020-2021
2018-0303,SP101,96,,First Semester,2020-2021
2018-0303,CC112,93,,Second Semester,2020-2021
2018-0303,CC113,98,,Second Semester,2020-2021
2018-0303,ITELEC2,95,,Second Semester,2020-2021
2018-0303,SIA1,94,,Second Semester,2020-2021
2018-0303,ENTREP11,98,,Second Semester,2020-2021
2018-0303,CC114,97,,Second Semester,2020-2021
2018-0303,IPT1,96,,Second Semester,2020-2021
2018-0303,ITELEC3,96,,Summer,2020-2021
2018-0303,CAP101,100,,Summer,2020-2021
2018-0303,CC115,98,,First Semester,2021-2022
2018-0303,ITPROFEL2,99,,First Semester,2021-2022
2018-0303,ITPROFEL3,97,,First Semester,2021-2022
2018-0303,HCI11,90,,First Semester,2021-2022
2018-0303,CAP102,100,,First Semester,2021-2022
2018-0303,SEMTOUR,100,,Second Semester,2021-2022
2018-0303,PRAC101,100,,Second Semester,2021-2022
2018-0240,CC101,90,,First Semester,2018-2019
2018-0240,MMW,92,,First Semester,2018-2019
2018-0240,ENVISCI,92,,First Semester,2018-2019
2018-0240,P.E.1,98,,First Semester,2018-2019
2018-0240,JEEP1,99,,First Semester,2018-2019
2018-0240,SOCSCI 11,91,,First Semester,2018-2019
2018-0240,NSTP1,98,,First Semester,2018-2019
2018-0240,ITF1,95,,Second Semester,2018-2019
2018-0240,CC103,90,,Second Semester,2018-2019
2018-0240,STS,96,,Second Semester,2018-2019
2018-0240,PURCOMM,98,,Second Semester,2018-2019
2018-0240,JEEP2,94,,Second Semester,2018-2019
2018-0240,CC104,92,,Second Semester,2018-2019
2018-0240,P.E.2,95,,Second Semester,2018-2019
2018-0240,NSTP2,95,,Second Semester,2018-2019
2018-0240,CC105,96,,First Semester,2019-2020
2018-0240,PT101,90,,First Semester,2019-2020
2018-0240,CONWORLD,98,,First Semester,2019-2020
2018-0240,WEB,95,,First Semester,2019-2020
2018-0240,P.E.3,90,,First Semester,2019-2020
2018-0240,CC106,93,,First Semester,2019-2020
2018-0240,CC107,92,,Second Semester,2019-2020
2018-0240,CC108,91,,Second Semester,2019-2020
2018-0240,CC109,98,,Second Semester,2019-2020
2018-0240,HUM11,97,,Second Semester,2019-2020
2018-0240,ETHICS,95,,Second Semester,2019-2020
2018-0240,RVA,94,,Second Semester,2019-2020
2018-0240,P.E.4,90,,Second Semester,2019-2020
2018-0240,CC110,90,,First Semester,2020-2021
2018-0240,ITELEC1,98,,First Semester,2020-2021
2018-0240,CC111,96,,First Semester,2020-2021
2018-0240,RIZAL,93,,First Semester,2020-2021
2018-0240,HIST11,90,,First Semester,2020-2021
2018-0240,ITPROFEL1,90,,First Semester,2020-2021
2018-0240,SP101,96,,First Semester,2020-2021
2018-0240,CC112,93,,Second Semester,2020-2021
2018-0240,CC113,98,,Second Semester,2020-2021
2018-0240,ITELEC2,95,,Second Semester,2020-2021
2018-0240,SIA1,94,,Second Semester,2020-2021
2018-0240,ENTREP11,98,,Second Semester,2020-2021
2018-0240,CC114,97,,Second Semester,2020-2021
2018-0240,IPT1,96,,Second Semester,2020-2021
2018-0240,ITELEC3,96,,Summer,2020-2021
2018-0240,CAP101,100,,Summer,2020-2021
2018-0240,CC115,98,,First Semester,2021-2022
2018-0240,ITPROFEL2,99,,First Semester,2021-2022
2018-0240,ITPROFEL3,97,,First Semester,2021-2022
2018-0240,HCI11,90,,First Semester,2021-2022
2018-0240,CAP102,100,,First Semester,2021-2022
2018-0240,SEMTOUR,100,,Second Semester,2021-2022
2018-0240,PRAC101,100,,Second Semester,2021-2022
